source,destination,edgeContent,timestamp,edgeType
calcalist,zvizerahia1,https://twitter.com/calcalist/status/1640248767994634246,2023-03-27T07:05:55.000Z,retweet
didsbox,attilus,https://twitter.com/didsbox/status/1640248726047342593,2023-03-27T07:05:45.000Z,reply
Nehemia_GA,UziBaruch,https://twitter.com/Nehemia_GA/status/1640248673870262272,2023-03-27T07:05:32.000Z,reply
tirza_tayeb,N12News,https://twitter.com/tirza_tayeb/status/1640248640311644160,2023-03-27T07:05:24.000Z,retweet
KleinVarda,RomanBronfman,https://twitter.com/KleinVarda/status/1640248621651181570,2023-03-27T07:05:20.000Z,retweet
EyalRephaeli,RomanBronfman,https://twitter.com/EyalRephaeli/status/1640248601757507585,2023-03-27T07:05:15.000Z,retweet
DanDagan123,attilus,https://twitter.com/DanDagan123/status/1640248596871143424,2023-03-27T07:05:14.000Z,reply
OmerNolan8,wPCT850CB6XnH13,https://twitter.com/OmerNolan8/status/1640248589656924161,2023-03-27T07:05:12.000Z,reply
OmerNolan8,dangoren4,https://twitter.com/OmerNolan8/status/1640248589656924161,2023-03-27T07:05:12.000Z,mention
Dalruja,BarakRavid,https://twitter.com/Dalruja/status/1640248551471996929,2023-03-27T07:05:03.000Z,retweet
Dalruja,Nadav_Eyal,https://twitter.com/Dalruja/status/1640248551471996929,2023-03-27T07:05:03.000Z,mention
Margalitshmuel2,NitzanHorowitz,https://twitter.com/Margalitshmuel2/status/1640248516139261961,2023-03-27T07:04:55.000Z,reply
MyryYsr,Shutup100000,https://twitter.com/MyryYsr/status/1640248491711627265,2023-03-27T07:04:49.000Z,reply
MilaneHaran,MilaneHaran,https://twitter.com/MilaneHaran/status/1640248472476499969,2023-03-27T07:04:44.000Z,reply
elico07,mennyassyag,https://twitter.com/elico07/status/1640248410652409856,2023-03-27T07:04:30.000Z,reply
YuvalSaban1,amit_segal,https://twitter.com/YuvalSaban1/status/1640248402117050369,2023-03-27T07:04:28.000Z,reply
JoeMarc25149830,YoavNews1,https://twitter.com/JoeMarc25149830/status/1640248400338644993,2023-03-27T07:04:27.000Z,retweet
natan_sadot,N12News,https://twitter.com/natan_sadot/status/1640248218876354564,2023-03-27T07:03:44.000Z,retweet
